x,y
1.3533113716049,-0.4181138039035656
1.357453487997115,-0.418111779198393
1.3615969966994952,-0.4181097555820151
1.365741898105438,-0.4181077330744402
1.3698881922206763,-0.4181057117608858
1.3740358792128557,-0.4181036921717412
1.378184959224532,-0.4181016743692089
1.382335432167432,-0.4180996586457597
1.3864872977801945,-0.41809764536404703
1.3906405561692716,-0.4180956347375864
1.3947952068501748,-0.4180936267924096
1.3989512496367895,-0.4180916217099206
1.4031086843169442,-0.4180896198223701
1.407267510796653,-0.41808762174028113
1.4114277287739176,-0.4180856277902329
1.4155893391819527,-0.4180836371487288
1.4197523421766831,-0.41808164989712604
1.423916738151027,-0.418079665481118
1.428082527423138,-0.4180776829267753
1.432249710637272,-0.4180757013765531
1.4364182865038408,-0.41807372384928665
